compound_id,inchikey,molecule_chembl_ids,canonical_smiles,murcko_scaffold,pIC50,n_measurements,pIC50_iqr,document_year_min,document_year_max
TRAIN_00559,COAXYAPFKPSVLK-QDOHHUBKSA-N,CHEMBL4109666,CO[C@H]1[C@H](C)C[C@@]2(Cc3ccc(C#N)cc3[C@]23N=C(N)N(CC2(C)COC2)C3=O)C[C@@H]1C,O=C1N(CC2COC2)C=NC12c1ccccc1CC21CCCCC1,8.4,1,0.0,2015,2015
TRAIN_00560,COCAUCFPFHUGAA-MGNBDDOMSA-N,CHEMBL2331712,NC1=N[C@@]2(c3cc(NC(=O)c4ccc(Cl)cn4)ccc3F)C[C@H]2CCS1,O=C(Nc1cccc(C23CC2CCSC=N3)c1)c1ccccn1,7.58,1,0.0,2013,2013
TRAIN_00561,COCAUCFPFHUGAA-UHFFFAOYSA-N,CHEMBL2331714,NC1=NC2(c3cc(NC(=O)c4ccc(Cl)cn4)ccc3F)CC2CCS1,O=C(Nc1cccc(C23CC2CCSC=N3)c1)c1ccccn1,7.92,1,0.0,2013,2013
TRAIN_00562,COHIPDDBYDBFPY-ZLOXQWCVSA-N,CHEMBL3394227,NC1=N[C@@]2(CO1)c1cc(-c3cccnc3F)ccc1Oc1c2cc(N2CC[C@@H](F)C2)nc1F,C1=NC2(CO1)c1cc(-c3cccnc3)ccc1Oc1cnc(N3CCCC3)cc12,9.11,2,0.59,2015,2015
TRAIN_00563,COJSAULFNAZMSW-VEPNZUSMSA-N,CHEMBL584547,C=C1CCC(NC[C@@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(C)=O)(c2cccc(C(C)(C)C)c2)CN1,C=C1CCC(NCCCCc2ccccc2)(c2ccccc2)CN1,7.32,1,0.0,2009,2009
TRAIN_00564,CORGHEXKCNZSJU-UHFFFAOYSA-N,CHEMBL1824133,CN1C(=O)C(c2cccc(-c3cncnc3)c2)(c2cnn(C)c2)N=C1N,O=C1NC=NC1(c1cn[nH]c1)c1cccc(-c2cncnc2)c1,7.0,1,0.0,2011,2011
TRAIN_00565,COSNLASPZRJXQX-USZFVNFHSA-N,CHEMBL1760856,CCCCc1cc(C[C@@H]2CS(=O)(=O)C[C@H](NCc3cccc(C(C)C)c3)[C@H]2O)ccc1O,O=S1(=O)CC(Cc2ccccc2)CC(NCc2ccccc2)C1,6.82,1,0.0,2011,2011
TRAIN_00566,COXXCFPTOCRKAL-BBXPGFNESA-N,CHEMBL3673191,COC[C@H]1C[C@H]2CSC(N)=NC2(c2cc(C#N)c(F)cc2F)CO1,C1=NC2(c3ccccc3)COCCC2CS1,6.5,1,0.0,2015,2015
TRAIN_00567,COZVYHAVOVJZNL-YANHADEHSA-N,CHEMBL3914462,CO[C@H]1CC[C@]2(CC1)Cc1c(F)cccc1C21N=C(N)N(C)C1=O,O=C1NC=NC12c1ccccc1CC21CCCCC1,6.31,1,0.0,2015,2015
TRAIN_00568,CPAGKWRTCRNERV-UHFFFAOYSA-N,CHEMBL1164406,O=C(NCc1ccc(F)cc1)c1ccc(N2CC3CC(C2)c2cccc(=O)n2C3)c(NS(=O)(=O)c2ccc3c(c2)OCCO3)c1,O=C(NCc1ccccc1)c1ccc(N2CC3CC(C2)c2cccc(=O)n2C3)c(NS(=O)(=O)c2ccc3c(c2)OCCO3)c1,4.0,1,0.0,2010,2010
TRAIN_00569,CPAVQEOYMDFNLT-XPIZARPCSA-N,CHEMBL3691359,NC1=N[C@@]2(c3ccc(F)cc3F)CO[C@@H](COCc3ccccc3)C[C@H]2CO1,C1=NC2(c3ccccc3)COC(COCc3ccccc3)CC2CO1,7.49,1,0.0,2015,2015
TRAIN_00570,CPNYKYVZIZDRFM-KDYSTLNUSA-N,CHEMBL2177478,CC(C)Oc1cccc(CN2CC[C@@]3(C[C@@H]2C)CN(c2ncccn2)S(=O)(=O)N3c2cccc(F)c2)c1,O=S1(=O)N(c2ncccn2)CC2(CCN(Cc3ccccc3)CC2)N1c1ccccc1,5.71,2,0.11,2012,2012
TRAIN_00571,CPPXTZVZIDUKJO-FXSWLTOZSA-N,CHEMBL404680,CCCN(CCC)C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2C[C@@H](O)CN2)c1,O=C(NC(Cc1ccccc1)CC1CCCN1)c1ccccc1,6.445,2,0.605,2008,2008
TRAIN_00572,CPSNTABRDWAUIZ-UCMVZMLTSA-N,CHEMBL3688742,NC1=N[C@](CF)(c2cc(NC(=O)c3ncc(Cl)cc3F)ccc2Cl)[C@H]2C[C@H]2O1,O=C(Nc1cccc(C2N=COC3CC32)c1)c1ccccn1,7.26,1,0.0,2015,2015
TRAIN_00573,CPTSXKPUIKUWDU-UHFFFAOYSA-N,CHEMBL2177324,COc1ccc2c(c1)C1(COC(N)=N1)c1cc(-c3ccccc3Cl)ccc1O2,C1=NC2(CO1)c1ccccc1Oc1ccc(-c3ccccc3)cc12,5.46,2,0.15,2012,2012
TRAIN_00574,CPVOTNHEDGYJNP-OALUTQOASA-N,CHEMBL2172802,CCSc1cccc(-c2ccc([C@@H]3C[C@@H]3c3cc(=O)n(C)c(N)n3)cc2)c1,O=c1cc(C2CC2c2ccc(-c3ccccc3)cc2)nc[nH]1,5.04,1,0.0,2012,2012
TRAIN_00575,CQATWEDKZUQSBB-UHFFFAOYSA-N,CHEMBL3656128,COc1cc(Cl)cc(-c2ccc3c(c2)C2(N=C(N)N(C)O2)C2(CCC(OC)CC2)C3)c1,C1=NC2(ON1)c1cc(-c3ccccc3)ccc1CC21CCCCC1,8.23,1,0.0,2014,2014
TRAIN_00576,CQCDPZLBFQUYJD-YDZHTSKRSA-N,CHEMBL1163230,Clc1ccc(/C=N/Nc2nc(Nc3cccc(Br)c3)nc(N3CCOCC3)n2)cc1,C(=NNc1nc(Nc2ccccc2)nc(N2CCOCC2)n1)c1ccccc1,4.0,1,0.0,2010,2010
TRAIN_00577,CQCYWEAFJHYRMA-UHFFFAOYSA-N,CHEMBL3260841;CHEMBL3652433,COC1CCC2(CC1)Cc1ccc(-c3cccc(C#N)c3)cc1C21N=C(N)N(C)C1=O,O=C1NC=NC12c1cc(-c3ccccc3)ccc1CC21CCCCC1,8.4,2,0.0,2014,2014
TRAIN_00578,CQDDFFKQHIFUIV-UHFFFAOYSA-N,CHEMBL3642601,CC1(c2cccc(OCC(=O)Nc3ccc(Cl)cc3)c2)CCSC(N)=N1,O=C(COc1cccc(C2CCSC=N2)c1)Nc1ccccc1,5.54,1,0.0,2013,2013
TRAIN_00579,CQEOGCIXQLQZTF-GOSISDBHSA-N,CHEMBL2347364,C#Cc1ccc(C(=O)Nc2ccc(F)c([C@@]3(C)N=C(N)OCC3(F)F)c2)nc1,O=C(Nc1cccc(C2CCOC=N2)c1)c1ccccn1,7.56,2,0.06,2013,2013
TRAIN_00580,CQFCVBSGJPJBFS-CJAGKMTESA-N,CHEMBL3683843,Cc1cc(OC(F)F)cnc1C(=O)Nc1cc(Cl)c(F)c([C@@]2(CF)N=C(N)O[C@@H]3C[C@@H]32)c1,O=C(Nc1cccc(C2N=COC3CC32)c1)c1ccccn1,7.49,1,0.0,2015,2015
TRAIN_00581,CQJCMAHTSPVMHW-BJKOFHAPSA-N,CHEMBL1270458,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(C(C)(C)C)c2)CCC1,c1ccc(CCCCNC2(c3ccccc3)CCC2)cc1,6.21,1,0.0,2010,2010
TRAIN_00582,CQNLBGSXUTULGK-YQCHCMBFSA-N,CHEMBL3597552,CN(Cc1ccccc1)Cc1ccc(/C=C2\Cc3ccc(OCCCCCN4CCN(OC(=O)C(C)(C)C)CC4)cc3C2=O)cc1,O=C1C(=Cc2ccc(CNCc3ccccc3)cc2)Cc2ccc(OCCCCCN3CCNCC3)cc21,5.49,1,0.0,2015,2015
