policy,seed,n_queried,cumulative_high_activity_found,recall,best_pIC50_sofar
surrogate_active_search,12,30,2,0.02531645569620253,8.5228786
surrogate_active_search,12,40,5,0.06329113924050633,9.1549015
surrogate_active_search,12,50,5,0.06329113924050633,9.1549015
surrogate_active_search,12,60,10,0.12658227848101267,9.1549015
surrogate_active_search,12,70,12,0.1518987341772152,9.1549015
surrogate_active_search,12,80,15,0.189873417721519,9.1549015
surrogate_active_search,12,90,16,0.20253164556962025,9.1549015
surrogate_active_search,12,100,18,0.22784810126582278,9.1549015
surrogate_active_search,12,110,19,0.24050632911392406,9.1549015
surrogate_active_search,12,120,23,0.2911392405063291,9.1549015
surrogate_active_search,12,130,28,0.35443037974683544,9.1549015
surrogate_active_search,12,140,32,0.4050632911392405,9.1549015
surrogate_active_search,12,150,32,0.4050632911392405,9.1549015
surrogate_active_search,13,30,3,0.0379746835443038,8.6989698
surrogate_active_search,13,40,8,0.10126582278481013,8.6989698
surrogate_active_search,13,50,12,0.1518987341772152,8.8538723
surrogate_active_search,13,60,17,0.21518987341772153,9.0506096
surrogate_active_search,13,70,19,0.24050632911392406,9.0506096
surrogate_active_search,13,80,21,0.26582278481012656,9.0506096
surrogate_active_search,13,90,22,0.27848101265822783,9.0506096
surrogate_active_search,13,100,23,0.2911392405063291,9.0506096
surrogate_active_search,13,110,23,0.2911392405063291,9.0506096
surrogate_active_search,13,120,23,0.2911392405063291,9.0506096
surrogate_active_search,13,130,27,0.34177215189873417,9.0506096
surrogate_active_search,13,140,33,0.4177215189873418,9.0506096
surrogate_active_search,13,150,37,0.46835443037974683,9.0506096
surrogate_active_search,14,30,2,0.02531645569620253,8.6989698
surrogate_active_search,14,40,8,0.10126582278481013,9.004365
surrogate_active_search,14,50,13,0.16455696202531644,9.004365
surrogate_active_search,14,60,16,0.20253164556962025,9.004365
surrogate_active_search,14,70,19,0.24050632911392406,9.004365
surrogate_active_search,14,80,22,0.27848101265822783,9.004365
surrogate_active_search,14,90,25,0.31645569620253167,9.1549015
surrogate_active_search,14,100,26,0.3291139240506329,9.1549015
surrogate_active_search,14,110,26,0.3291139240506329,9.1549015
surrogate_active_search,14,120,27,0.34177215189873417,9.1549015
surrogate_active_search,14,130,27,0.34177215189873417,9.1549015
surrogate_active_search,14,140,28,0.35443037974683544,9.1549015
surrogate_active_search,14,150,29,0.3670886075949367,9.1549015
surrogate_active_search,15,30,0,0.0,7.9208188
surrogate_active_search,15,40,2,0.02531645569620253,8.6989698
surrogate_active_search,15,50,3,0.0379746835443038,8.6989698
surrogate_active_search,15,60,5,0.06329113924050633,8.6989698
surrogate_active_search,15,70,5,0.06329113924050633,8.6989698
surrogate_active_search,15,80,6,0.0759493670886076,8.6989698
surrogate_active_search,15,90,8,0.10126582278481013,9.0
